generation,best_cost,avg_cost,worst_cost,best_coverage,avg_coverage,worst_coverage,best_distance,avg_distance,worst_distance,avg_sites,min_sites,max_sites
73,28560431.812652845,131764588.42017059,302202744.9709474,283.55934794938275,283.5593479493828,283.55934794938275,0.739448546882531,0.9401443485186725,1.3920252865994451,30.76,8.0,68.0
74,28560431.812652845,112732016.2388796,302202744.9709474,283.55934794938275,283.5593479493828,283.55934794938275,0.739448546882531,0.9812252851600999,1.3920252865994451,26.7,8.0,68.0
75,28560431.812652845,113495412.01270156,302202744.9709474,283.55934794938275,283.5593479493828,283.55934794938275,0.739448546882531,0.9809245604087125,1.3920252865994451,26.9,8.0,68.0
76,28560431.812652845,112914435.12087002,302202744.9709474,283.55934794938275,283.5593479493828,283.55934794938275,0.739448546882531,0.9816891243137058,1.3920252865994451,26.74,8.0,68.0
77,28560431.812652845,109343341.69443783,302202744.9709474,283.55934794938275,283.5593479493828,283.55934794938275,0.739448546882531,0.9853763430883536,1.3920252865994451,25.88,8.0,68.0
78,28560431.812652845,116700554.62536508,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9789959084466553,1.3920252865994451,27.4,8.0,81.0
79,28560431.812652845,117883343.4806428,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9768897359153107,1.3920252865994451,27.64,8.0,81.0
80,28560431.812652845,114017195.86534241,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9815623473298207,1.3920252865994451,26.82,8.0,81.0
81,28560431.812652845,112528104.41968109,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9873723423642818,1.3920252865994451,26.56,8.0,81.0
82,28560431.812652845,116943798.45879143,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9796732964457862,1.3920252865994451,27.52,8.0,81.0
83,28560431.812652845,117930959.97368242,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9769302184291989,1.3920252865994451,27.74,8.0,81.0
84,28560431.812652845,121416682.35687187,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9623742745803048,1.3920252865994451,28.54,8.0,81.0
85,28560431.812652845,112777319.54735619,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9793708017973902,1.3920252865994451,26.66,8.0,81.0
86,28560431.812652845,111063404.09217092,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9869272039026388,1.3920252865994451,26.3,8.0,81.0
87,24523668.601334844,115508734.74876079,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9896177956078509,1.8369516217893282,27.18,7.0,81.0
88,24523668.601334844,123489559.15229881,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9705148266241909,1.8369516217893282,28.94,7.0,81.0
89,24523668.601334844,122337996.04159394,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9798111910143092,1.8369516217893282,28.72,7.0,81.0
90,24523668.601334844,119052071.7199338,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9878254373934128,1.8369516217893282,28.02,7.0,81.0
91,24523668.601334844,120030054.41738819,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,0.9886836833464389,1.8369516217893282,28.2,7.0,81.0
92,24523668.601334844,113422694.34546983,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,1.0136148224144559,1.8369516217893282,26.74,7.0,81.0
93,24523668.601334844,105777774.8712445,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,1.0206551491672597,1.8369516217893282,25.1,7.0,81.0
94,24523668.601334844,110007993.54607266,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,1.0173220036213706,1.8369516217893282,25.96,7.0,81.0
95,24523668.601334844,114481289.43345158,384678176.71183825,283.55934794938275,283.5593479493828,283.55934794938275,0.7357412450060445,1.0193922409412033,1.8369516217893282,26.96,7.0,81.0
96,24523668.601334844,103782201.32922943,283837448.9174143,283.55934794938275,283.5593479493828,283.55934794938275,0.7355170813120001,1.017947879055023,1.8369516217893282,24.86,7.0,64.0
97,24523668.601334844,106594570.05958141,283837448.9174143,283.55934794938275,283.5593479493828,283.55934794938275,0.7355170813120001,1.007640170870767,1.8369516217893282,25.48,7.0,64.0
98,24523668.601334844,111521805.18707219,283837448.9174143,283.55934794938275,283.5593479493828,283.55934794938275,0.7355170813120001,0.988829860612451,1.8369516217893282,26.6,7.0,64.0
99,24523668.601334844,112409433.77561131,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.994141469081062,1.8369516217893282,26.72,7.0,64.0
100,24523668.601334844,109893103.17630634,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9968807209528842,1.8369516217893282,26.22,7.0,64.0
101,24523668.601334844,113098730.57134572,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9772205676250515,1.8369516217893282,26.9,7.0,64.0
102,24523668.601334844,118417228.1065769,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9684794345034612,1.8369516217893282,28.04,7.0,64.0
